participant_id,account_id,session_id,mode,age_group,gender,total_tasks,answered_tasks,solved_tasks,accuracy_total,accuracy_answered,answered_rate,mean_rt_ms,median_rt_ms,p90_rt_ms,first_level,last_level,max_level,level_gain,completed_batches,task_span_minutes
ochisooo,ochisooo,s1774366996_ochisooo,baseline,unknown,unknown,50,46,43,0.86,0.9347826086956522,0.92,2191.608695652174,1969.0,3317.0,1.0,3.0,3.0,2.0,5,3.539601066666667
participant_01,lera,s1771434254_lera,baseline,25-28,female,10,10,9,0.9,0.9,1.0,1844.4,1799.5,2745.999999999999,1.0,1.0,1.0,0.0,1,0.23206261666666667
participant_01,lera,s1771434598_lera,baseline,25-28,female,20,19,17,0.85,0.8947368421052632,0.95,1228.421052631579,1031.0,2146.6,1.0,1.0,1.0,0.0,2,32876.36296048333
participant_01,lera,s1772362458_lera,baseline,25-28,female,34,31,25,0.7352941176470589,0.8064516129032258,0.9117647058823529,1561.1290322580646,1394.0,2487.0,1.0,2.0,2.0,1.0,4,5.736312033333333
participant_01,lera,s1772362839_lera,baseline,25-28,female,1,0,0,0.0,,0.0,,,,1.0,1.0,1.0,0.0,1,
participant_01,lera,s1772364516_lera,baseline,25-28,female,50,30,27,0.54,0.9,0.6,1717.6333333333334,1354.5,2933.3,1.0,3.0,3.0,2.0,5,3.3458563833333335
participant_01,lera,s1772364857_lera,baseline,25-28,female,421,395,324,0.7695961995249406,0.8202531645569621,0.9382422802850356,1791.2455696202533,1583.0,3010.000000000001,1.0,10.0,10.0,9.0,43,43571.30586506667
participant_01,junya,s1773323154_junya,baseline,25-28,female,31,31,16,0.5161290322580645,0.5161290322580645,1.0,484.9032258064516,135.0,1741.0,1.0,1.0,1.0,0.0,4,0.17653955000000002
participant_01,lera,s1773597254_lera,baseline,25-28,female,10,10,9,0.9,0.9,1.0,1350.1,1065.0,2079.2,1.0,1.0,1.0,0.0,1,0.19809518333333334
participant_01,lera,s1774979147_lera,baseline,25-28,female,125,123,107,0.856,0.8699186991869918,0.984,1702.7235772357724,1549.0,2766.8,1.0,10.0,10.0,9.0,13,48.51890193333334
participant_01,lera,s1774983102_lera,baseline,25-28,female,110,109,91,0.8272727272727273,0.8348623853211009,0.990909090909091,1627.4036697247707,1412.0,2672.8,1.0,10.0,10.0,9.0,11,29.061635733333333
participant_01,lera,s1774984858_lera,baseline,25-28,female,90,90,84,0.9333333333333333,0.9333333333333333,1.0,1647.0666666666666,1481.0,2683.900000000001,1.0,9.0,9.0,8.0,9,2.4221317499999997
